TradeNumber,Instrument,Direction,Quantity,EntryTime,EntryPrice,EntryName,ExitTime,ExitPrice,ExitName,ProfitPoints,ProfitTicks,ProfitCurrency,Commission,CumProfitCurrency,MaePoints,MfePoints,Stop,Target,R
0,NQ,Short,1,2025-11-30 19:31:00,25559.25,VAB,2025-11-30 19:42:00,25582.25,Stop loss,-23.2,-92.8,-464,4,-464,23,6.25,25581.8958333333,25514.5208333333,-1.0156
1,NQ,Long,1,2025-12-01 10:21:00,25627.25,VAB,2025-12-01 11:45:00,25735.25,Profit target,107.8,431.2,2156,4,1692,20,108,25572.75,25735.25,1.9817
2,NQ,Long,1,2025-12-01 12:51:00,25731.75,VAB,2025-12-01 12:56:00,25746.75,Profit target,14.8,59.2,296,4,1988,7.75,15,25723.78125,25746.8125,1.8824
3,NQ,Long,1,2025-12-05 15:59:00,25994.75,VAB,2025-12-05 16:00:00,25989.75,Stop loss,-5.2,-20.8,-104,4,1884,5,0.5,25990,26003.40625,-1.0526
4,NQ,Long,1,2025-12-09 09:51:00,25909.75,VAB,2025-12-09 10:02:00,25952.5,Profit target,42.55,170.2,851,4,2735,4.75,42.75,25887.9166666667,25952.4166666667,1.9580
5,NQ,Long,1,2025-12-09 14:41:00,25961.5,VAB,2025-12-09 14:42:00,25954.5,Stop loss,-7.2,-28.8,-144,4,2591,7,1,25954.7708333333,25974.1458333333,-1.0402
6,NQ,Short,1,2025-12-12 14:14:00,25488.75,VAB,2025-12-12 14:31:00,25459.25,Profit target,29.3,117.2,586,4,3177,8.75,29.5,25503.8020833333,25459.1770833333,1.9599
7,NQ,Short,1,2025-12-16 18:36:00,25282,VAB,2025-12-16 18:38:00,25300.25,Stop loss,-18.45,-73.8,-369,4,2808,18.25,0.25,25299.9583333333,25246.7083333333,-1.0162
8,NQ,Short,1,2025-12-17 13:26:00,24946.25,VAB,2025-12-17 13:31:00,24961.75,Stop loss,-15.7,-62.8,-314,4,2494,17.75,10,24961.4270833333,24916.3958333333,-1.0213
9,NQ,Short,1,2025-12-17 14:08:00,24944.75,VAB,2025-12-17 14:15:00,24960.25,Stop loss,-15.7,-62.8,-314,4,2180,15.5,2.5,24960.0625,24915.03125,-1.0122
10,NQ,Long,1,2025-12-19 00:54:00,25291.25,VAB,2025-12-19 01:04:00,25318.5,Profit target,27.05,108.2,541,4,2721,5.75,27.25,25277.375,25318.5,1.9640
11,NQ,Long,1,2025-12-19 14:36:00,25580.5,VAB,2025-12-19 14:38:00,25570.5,Stop loss,-10.2,-40.8,-204,4,2517,10,0.75,25570.8333333333,25599.3333333333,-1.0345
12,NQ,Long,1,2025-12-21 20:18:00,25693.25,VAB,2025-12-21 20:20:00,25688.25,Stop loss,-5.2,-20.8,-104,4,2413,7,1.75,25688.4270833333,25702.3020833333,-1.0367
13,NQ,Long,1,2025-12-23 13:47:00,25787.25,VAB,2025-12-23 13:55:00,25794.75,Profit target,7.3,29.2,146,4,2559,2,7.5,25783.6666666667,25794.6666666667,2.0930
14,NQ,Long,1,2025-12-23 19:37:00,25818.25,VAB,2025-12-23 19:40:00,25811.25,Stop loss,-7.2,-28.8,-144,4,2415,7,1.25,25811.6145833333,25830.5208333333,-1.0549
15,NQ,Short,1,2025-12-23 23:22:00,25781,VAB,2025-12-23 23:25:00,25784.25,Stop loss,-3.45,-13.8,-69,4,2346,3.25,1,25784,25775,-1.0833
